Model,Branded variable name,Frequency,STASH,Section,Item,time_profile,domain_profile,usage_profile
UKESM1,grassFracC4_tavg-u-hxy-u,mon,m01s03i395,3,395,TMONMN,DIAG,UP5
UKESM1,grassFracC4_tavg-u-hxy-u,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,grassFracC3_tavg-u-hxy-u,mon,m01s03i395,3,395,TMONMN,DIAG,UP5
UKESM1,grassFracC3_tavg-u-hxy-u,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,gpp_tavg-u-hxy-lus,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,gpp_tavg-u-hxy-lus,mon,m01s19i101,19,101,TMONMN,DPFTS,UP5
UKESM1,gpp_tavg-u-hxy-ng,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,gpp_tavg-u-hxy-ng,mon,m01s19i182,19,182,TMONMN,DPFTS,UP5
UKESM1,fracLut_tavg-u-hxy-u,mon,m01s03i395,3,395,TMONMN,DIAG,UP5
UKESM1,fracLut_tavg-u-hxy-u,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,flashrate_tavg-u-hxy-u,mon,m01s50i082,50,082,TMONMN,DIAG,UP5
HadGEM3-GC31,flashrate_tavg-u-hxy-u,mon,m01s50i082,50,082,TMONMN,DIAG,UP5
UKESM1,fProductDecomp_tavg-u-hxy-lnd,mon,m01s19i042,19,042,TMONMN,DIAG,UP5
UKESM1,fNup_tavg-u-hxy-lnd,mon,m01s19i113,19,113,TMONMN,DIAG,UP5
UKESM1,fNup_tavg-u-hxy-lnd,mon,m01s19i160,19,160,TMONMN,DIAG,UP5
UKESM1,fNnetmin_tavg-u-hxy-lnd,mon,m01s19i171,19,171,TMONMN,DIAG,UP5
UKESM1,fNnetmin_tavg-u-hxy-lnd,mon,m01s19i181,19,181,TMONMN,DIAG,UP5
UKESM1,fNloss_tavg-u-hxy-lnd,mon,m01s19i118,19,118,TMONMN,DIAG,UP5
UKESM1,fNleach_tavg-u-hxy-lnd,mon,m01s19i114,19,114,TMONMN,DIAG,UP5
UKESM1,fNgasNonFire_tavg-u-hxy-lnd,mon,m01s19i117,19,117,TMONMN,DIAG,UP5
UKESM1,fNgas_tavg-u-hxy-lnd,mon,m01s19i117,19,117,TMONMN,DIAG,UP5
UKESM1,fNfert_tavg-u-hxy-lnd,mon,m01s19i126,19,126,TMONMN,DIAG,UP5
UKESM1,fNVegSoil_tavg-u-hxy-lnd,mon,m01s19i124,19,124,TMONMN,DIAG,UP5
UKESM1,fNAnthDisturb_tavg-u-hxy-lnd,mon,m01s19i120,19,120,TMONMN,DIAG,UP5
UKESM1,fNAnthDisturb_tavg-u-hxy-lnd,mon,m01s19i122,19,122,TMONMN,DIAG,UP5
UKESM1,fLuc_tavg-u-hxy-lnd,mon,m01s19i039,19,039,TMONMN,DIAG,UP5
UKESM1,fLuc_tavg-u-hxy-lnd,mon,m01s19i040,19,040,TMONMN,DIAG,UP5
UKESM1,fLuc_tavg-u-hxy-lnd,mon,m01s19i041,19,041,TMONMN,DIAG,UP5
UKESM1,fHarvestToAtmos_tavg-u-hxy-lnd,mon,m01s19i044,19,044,TMONMN,DIAG,UP5
UKESM1,fDeforestToProduct_tavg-u-hxy-lnd,mon,m01s19i036,19,036,TMONMN,DIAG,UP5
UKESM1,fDeforestToProduct_tavg-u-hxy-lnd,mon,m01s19i037,19,037,TMONMN,DIAG,UP5
UKESM1,fDeforestToProduct_tavg-u-hxy-lnd,mon,m01s19i038,19,038,TMONMN,DIAG,UP5
UKESM1,fBNF_tavg-u-hxy-lnd,mon,m01s19i113,19,113,TMONMN,DIAG,UP5
UKESM1,evspsblpot_tavg-u-hxy-lnd,mon,m01s03i334,3,334,TMONMN,DIAG,UP5
HadGEM3-GC31,evspsblpot_tavg-u-hxy-lnd,mon,m01s03i334,3,334,TMONMN,DIAG,UP5
UKESM1,ec550aer_tavg-l-hxy-u,mon,m01s02i530,2,530,TMONMN,DALLTHAOT,UP5
UKESM1,ec550aer_tavg-l-hxy-u,mon,m01s02i540,2,540,TMONMN,DALLTHAOT,UP5
UKESM1,ec550aer_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
HadGEM3-GC31,ec550aer_tavg-l-hxy-u,mon,m01s02i530,2,530,TMONMN,DALLTHAOT,UP5
HadGEM3-GC31,ec550aer_tavg-l-hxy-u,mon,m01s02i540,2,540,TMONMN,DALLTHAOT,UP5
HadGEM3-GC31,ec550aer_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
UKESM1,depdust_tavg-u-hxy-u,mon,m01s03i440,3,440,TMONMN,DIAG,UP5
